method,selected_lower_quantile,selected_upper_quantile,selected_interval_pair,cal_wPICP_80,cal_PICP_80,cal_wMPIW_80,cal_MPIW_80,cal_wNMPIW_80,cal_NMPIW_80,cal_Winkler_80,RMSE,MAE,R2,Skill,wPICP_80,PICP_80,wMPIW_80,MPIW_80,wNMPIW_80,NMPIW_80,Winkler_80,selection_target,calibration_target_hit,Series,Series ID,fold_id,train_len,calibration_len,validation_len,train_ts_start,train_ts_end,calibration_ts_start,calibration_ts_end,validation_ts_start,validation_ts_end,is_selected,calibration_adjustment
lgb_pair,0.05,0.98,q05-q98,0.702911707313711,0.7,3.329325774339889,3.327549520412165,0.34824324064750317,0.34805744674629624,11.20538739716711,4.224736068356734,2.758321143895281,-0.13083896178610033,0.0,0.4517459422278471,0.45,3.15813477109657,3.157575060638604,0.17521254661607866,0.17518149401642222,17.181154619845916,0.84,False,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,1,70,20,20,2836,2905,2906,2925,2926,2945,False,
lgb_conformal,0.05,0.98,q05-q98,0.8509012762477975,0.85,6.653282252261362,6.651505998333638,0.6959248597201045,0.6957390658188976,11.0139718550802,4.224736068356734,2.758321143895281,-0.13083896178610033,0.0,0.7022453479588854,0.7,6.482091249018044,6.481531538560077,0.3596248410715847,0.35959378847192824,13.885024064755445,0.84,True,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,1,70,20,20,2836,2905,2906,2925,2926,2945,True,1.6619782389607365
naive_lag1,0.1,0.9,q10-q90,0.8503773808178168,0.85,9.350355951482692,9.350355951482692,0.9780353376195554,0.9780353376195554,11.422517156886574,5.574652613965037,4.195458765242085,-0.968961467061699,0.0,0.5525434265287187,0.55,9.350355951482689,9.350355951482692,0.5187554669990342,0.5187554669990344,22.626095621539875,0.84,True,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,1,70,20,20,2836,2905,2906,2925,2926,2945,False,
lgb_pair,0.02,0.98,q02-q98,0.5481193264663233,0.55,4.292902881461853,4.31389492592419,0.23816920453184587,0.2393338380372257,15.65795932022076,1.7040015677635765,1.3740597442653448,-0.04175374378345831,0.25651022542225527,0.5978564653259498,0.6,4.240390721845465,4.243591955694888,0.722638125600125,0.7231836728810953,7.6022619146038615,0.84,False,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,2,90,20,20,2836,2925,2926,2945,2946,2965,False,
lgb_conformal,0.02,0.98,q02-q98,0.8511347773900687,0.85,8.148583879964859,8.169575924427196,0.45208144566535735,0.45324607917073717,12.9041117012457,1.7040015677635765,1.3740597442653448,-0.04175374378345831,0.25651022542225527,1.0,1.0,8.096071720348471,8.099272954197895,1.3797148603727212,1.3802604076536917,8.096071720348471,0.84,True,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,2,90,20,20,2836,2925,2926,2945,2946,2965,True,1.927840499251503
naive_lag1,0.1,0.95,q10-q95,0.8536086967160109,0.85,13.495872340116529,13.49587234011653,0.7487477048663947,0.7487477048663949,19.994661542433892,2.7312772002058856,2.3766570930033093,-1.6764346799876533,0.0,1.0,1.0,13.49587234011653,13.49587234011653,2.2999370885699726,2.2999370885699726,13.49587234011653,0.84,True,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,2,90,20,20,2836,2925,2926,2945,2946,2965,False,
lgb_pair,0.02,0.95,q02-q95,0.7986185405444234,0.8,6.3863483772442295,6.389755766189637,1.0883475423587057,1.0889282221408811,7.4304838978474415,2.6886357094875355,1.9703833197280691,-0.08619608814868762,0.0,0.7985421119926236,0.8,5.841219337764002,5.838497042731959,0.49107076323039245,0.4908419001417422,10.040425358199307,0.84,False,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,3,110,20,20,2836,2945,2946,2965,2966,2985,False,
lgb_conformal,0.02,0.95,q02-q95,0.8487578605362907,0.85,6.7683183050615865,6.771725694006994,1.1534420232166915,1.1540227029988668,7.427845518004795,2.6886357094875355,1.9703833197280691,-0.08619608814868762,0.0,0.7985421119926236,0.8,6.223189265581359,6.220466970549316,0.5231829393254832,0.5229540762368331,10.03764101131459,0.84,True,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,3,110,20,20,2836,2945,2946,2965,2966,2985,True,0.19098496390867847
naive_lag1,0.05,0.9,q05-q90,0.8490948547113235,0.85,7.230946769089967,7.23094676908997,1.232282155653647,1.2322821556536474,7.9346921429061785,3.635611136766679,2.7102009741006676,-0.9860910742366393,0.0,0.6993458748004403,0.7,7.230946769089968,7.23094676908997,0.607905018361222,0.6079050183612221,13.148347745921303,0.84,True,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,3,110,20,20,2836,2945,2946,2965,2966,2985,False,
lgb_pair,0.1,0.98,q10-q98,0.7495696214155682,0.75,4.69862292988577,4.695275672728785,0.3950127901196183,0.3947313865235948,10.100431796013504,1.4277943050907411,1.2267233169731664,-0.5559851747216136,0.0,0.950589296931444,0.95,4.418620000100702,4.422933435638855,0.8631347271964468,0.8639773151552254,5.376329368778231,0.84,False,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,4,130,20,20,2836,2965,2966,2985,2986,3005,False,
